link;titulo;descricao;ingredientes;instrucao;porcao
https://www.tastemade.com.br/videos/torta-de-chocolate-e-caramelo;b'Torta de Chocolate e Caramelo';b'Um combina\xc3\xa7\xc3\xa3o deliciosa de chocolate e caramelo em uma torta que vai te conquistar!';[b'150g de manteiga', b'100g de bombom recheado de caramelo', b'400 g de biscoito maria', b'200g de caramelo', b'200g de bombom recheado de caramelo', b'350ml de creme de leite fresco', b'200g de chocolate meio amargo picado', b'150g de bombom recheado de caramelo ', b'300ml de creme de leite fresco', b'1 colher de ch\xc3\xa1 de extrato de baunilha', b'100g de bombom recheado de caramelo picado', b'2 colheres de sopa de caramelo'];[b'Com aux\xc3\xadlio de um processador, triturar os biscoitos at\xc3\xa9 obter uma farofa fina. Dispor em uma tigela e reservar.', b'Em uma panela, derreter os bombons com a manteiga e, em seguida, misturar aos biscoitos triturados. ', b'Dispor em uma assadeira de fundo remov\xc3\xadvel, untada com \xc3\xb3leo e coberta com papel manteiga, pressionar a mistura contra as paredes e o fundo da assadeira com as costas de uma colher de maneira uniforme at\xc3\xa9 que a parte inferior e as laterais estejam completamente cobertas. Reservar na geladeira.', b'Para a camada de caramelo, derreter os bombons com o caramelo , em seguida, dispor na assadeira. Reservar na geladeira por 10 minutos.', b'Em uma panela adicionar o creme de leite e aquecer at\xc3\xa9 quase ferver. Retirar do fogo e adicionar o chocolate amargo e os bombons, mexer at\xc3\xa9 que o chocolate derreta e forme um creme liso. Reservar para esfriar.', b'Dispor sobre a camada de caramelo e reservar na geladeira por pelo menos 4 horas ou de um dia para o outro.', b'Com aux\xc3\xadlio de uma batedeira, bater o creme de leite fresco com a baunilha at\xc3\xa9 obter ponto de chantilly.', b'Dispor o chantilly sobre a torta e finalizar com os bombons picados e com o caramelo.'];
https://www.tastemade.com.br/videos/bife-invertido-com-queijo;b'Bife Invertido com Queijo';b'Capriche no jantar do fim de semana preparando um delicioso bife invertido com queijo';[b'900g de carne bovina em temperatura ambiente', b'Azeite de oliva', b'2 dentes de alho picados', b'\xc2\xbd cebola em tiras', b' 2 batatas raladas', b'900g de espinafre', b'3 azeitonas pretas cortadas', b'Sal', b'1 x\xc3\xadcara de queijo ralado', b'Molho demi-glace '];[b'Aquecer uma frigideira em fogo m\xc3\xa9dio, regar com azeite e selar toda superf\xc3\xadcie da carne. ', b'Cortar um dos lado e fazer um corte em seu centro. Virar de dentro para fora deixando a parte crua da carne para fora.', b'Em uma frigideira, aquecer o azeite e refogar o alho. Em seguida, adicionar as cebolas e mexer, depois adicionar as batatas, o espinafre,  as azeitonas e temperar com sal.', b'Juntar o queijo e cozinhar at\xc3\xa9 que derreta, rechear a carne com essa mistura.', b'Colocar a carne em uma assadeira forrada com papel alum\xc3\xadnio e utilizar palitos para fechar a carne  e evitar que o recheio vaze. ', b'Temperar a parte de fora da carne com sal e levar ao forno preaquecido a 200 graus por 30 minutos.', b'Fatiar e servir com o molho demi-glace.'];6 pessoas
https://www.tastemade.com.br/videos/picole-trufado-de-doce-de-leite;b'Picol\xc3\xa9 Trufado de Doce de Leite';b'Que tal celebrar o ver\xc3\xa3o com um picol\xc3\xa9 de doce de leite trufado super gostoso e f\xc3\xa1cil de fazer?';[b'350g de creme de leite fresco gelado', b'300g de doce de leite + 200g de doce de leite', b'2 claras em neve'];[b'Em uma tigela, bater, com aux\xc3\xadlio da batedeira, o creme de leite fresco at\xc3\xa9 obter um chantilly.', b'Adicionar 300g de doce de leite e misturar bem. Reservar.', b'Juntar as claras em neve com a mistura de doce de leite e misturar delicadamente.', b'Dispor colheradas do doce de leite restante ao creme e misturar ligeiramente para que o doce de leite n\xc3\xa3o se misture completamente.', b'Dispor em forminhas de picol\xc3\xa9 e levar ao freezer por, pelo menos, 4 horas ou at\xc3\xa9 que esteja firme.'];12 unidades
https://www.tastemade.com.br/videos/pao-recheado-com-chocolate-dona-benta;b'P\xc3\xa3o Recheado com Chocolate';b'Que tal fazer esse p\xc3\xa3o recheado com chocolate para dividir com a fam\xc3\xadlia hoje? ';[b'1 x\xc3\xadcara de leite morno', b'10g de fermento biol\xc3\xb3gico seco', b'4 x\xc3\xadcaras de farinha de trigo', b'\xe2\x85\x93 x\xc3\xadcara de a\xc3\xa7\xc3\xbacar', b'1 colher de ch\xc3\xa1 de sal', b'1 ovo ', b'1 gema ', b'150g de manteiga em temperatura ambiente', b'400g de chocolate meio amargo picado', b'50g de manteiga cortada em cubos', b'4 colheres de sopa de mel', b'\xc2\xbd x\xc3\xadcara de nozes picadas', b'\xc2\xbd x\xc3\xadcara de a\xc3\xa7\xc3\xbacar demerara', b'\xc2\xbd x\xc3\xadcara de \xc3\xa1gua'];[b'Misturar o leite morno com o fermento e deixar descansar por 5 minutos.', b'Em um recipiente, juntar a farinha, o a\xc3\xa7\xc3\xbacar e o sal. Reservar.', b'Adicionar os ovos e a gema na mistura de fermento e juntar aos poucos a mistura de secos. Sovar por 2 minutos.', b'Juntar a manteiga, misturar bem at\xc3\xa9 que esteja completamente incorporada \xc3\xa0 massa. Cobrir com um pano e deixar a massa crescer por 1 hora.', b'Em banho maria, derreter o chocolate com a manteiga. Deixar esfriar at\xc3\xa9 estar em temperatura ambiente e misturar 3 colheres de sopa de mel. Reservar.', b'Em uma superf\xc3\xadcie enfarinhada, abrir a massa, com a ajuda do rolo, em forma de ret\xc3\xa2ngulo.', b'Cobrir a massa com o chocolate, adicionar as nozes em peda\xc3\xa7os,  enrolar como um rocambole e levar a geladeira por 1 hora.', b'Dividir ao meio, cortar cada parte, novamente, ao meio no sentido do comprimento e tran\xc3\xa7ar a massa.', b'Dispor em formas untadas e assar em forno preaquecido a 180 graus por, aproximadamente, 45 minutos.', b'Em uma panelinha, levar ao fogo o a\xc3\xa7\xc3\xbacar demerara, a \xc3\xa1gua e o mel at\xc3\xa9 formar uma calda.', b'Pincelar com a calda e servir.'];10
https://www.tastemade.com.br/videos/macarrao-pizza-azul;b'Macarr\xc3\xa3o Pizza';b'Essa receita de MACARR\xc3\x83O PIZZA, sucesso da Tastemade, poder\xc3\xa1 fazer parte do menu a bordo da Azul Linhas A\xc3\xa9reas. ';[b'2 tomates em cubos', b'1 cebola em cubos', b'\xc2\xbd x\xc3\xadcara de azeitona em fatias', b'400g (2 caixinhas) de creme de leite', b'2 colher de sopa de mostarda', b'200g de penne cozida', b'Sal', b'Pimenta do reino', b'1 colher de ch\xc3\xa1 de or\xc3\xa9gano', b'50g de queijo mu\xc3\xa7arela ralado', b'50g de queijo parmes\xc3\xa3o ralado'];[b'Em um recipiente, adicionar o tomate, a cebola, a azeitona, o creme de leite e a mostarda.', b'Juntar o macarr\xc3\xa3o e adicionar o sal, a pimenta, o or\xc3\xa9gano, o queijo mu\xc3\xa7arela e misturar bem.', b'Dispor a mistura em um refrat\xc3\xa1rio, cobrir com o parmes\xc3\xa3o e levar ao forno preaquecido 180 graus por, aproximadamente, 30 minutos.'];
https://www.tastemade.com.br/videos/traduzidos-crockpot-desserts;b'Sobremesas de uma Panela S\xc3\xb3 ';b'Sobremesas simples para fazer em uma panela s\xc3\xb3 quando bate aquela vontade de comer um doce!';[b'1 \xc2\xbd x\xc3\xadcaras biscoitos triturados', b'6 colheres de sopa de manteiga derretida', b'230g de cream cheese', b'\xc2\xbd x\xc3\xadcara de a\xc3\xa7\xc3\xbacar', b'1 colher de ch\xc3\xa1 de baunilha', b'1 colher de sopa de suco de lim\xc3\xa3o', b'2 ovos', b'2 colheres de sopa de a\xc3\xa7\xc3\xbacar', b'1 colher de sopa de manteiga', b'1 colher de sopa de suco de lim\xc3\xa3o', b'\xc2\xbd colher de ch\xc3\xa1 de canela em p\xc3\xb3', b'450g de morangos frescos'];[b'Em uma tigela, misturar os biscoitos triturados  e manteiga derretida. Em seguida, pressione no fundo dos ramequins.', b'Em uma tigela com uma batedeira, bater o cream cheese e adicionar a\xc3\xa7\xc3\xbacar, baunilha, suco de lim\xc3\xa3o e ovos.', b'Dispor nos ramequins e cozinhar em banho maria por 2 horas. Deixar esfriar na panela e depois levar para a geladeira por 4 horas.', b'Em uma panela m\xc3\xa9dia em fogo baixo, misturar a manteiga, o a\xc3\xa7\xc3\xbacar, a canela e o suco de lim\xc3\xa3o. Mexer bem at\xc3\xa9 formar um xarope.', b'Retire do fogo e adicionar morangos. Misturar bem para cobrir cada morango.', b'Servir com a calda de morango.'];
https://www.tastemade.com.br/videos/toalha-felpuda-dona-benta;b'Bolo Toalha Felpuda';b'Esse bolo docinho e bem molhadinho \xc3\xa9 um sucesso! \xc3\x93tima op\xc3\xa7\xc3\xa3o para o lanche da tarde.';[b'4 ovos', b'1 1/2 x\xc3\xadcara de a\xc3\xa7\xc3\xbacar', b'100g de manteiga em ponto de pomada', b'200ml de leite de coco + 200ml de leite de coco', b'1 x\xc3\xadcara de leite integral', b'1 1/2 x\xc3\xadcara de farinha', b'1 colher de sopa de fermento qu\xc3\xadmico', b'1 lata (395g) de leite condensado', b'2 x\xc3\xadcaras de coco ralado'];"[b'Separar as gemas das claras e reservar as claras na geladeira.', b'Adicionar em uma tigela o a\xc3\xa7\xc3\xbacar, a manteiga, as gemas e bater at\xc3\xa9 ficar uma mistura bem fofa e clara.', b'Adicionar 200ml de leite de coco e misturar.', b'Adicionar a farinha e fazer o mesmo; mexer com uma esp\xc3\xa1tula e bater por mais 30 segundos.', b'Adicionar 1/2 x\xc3\xadcara de leite integral e seguir batendo.', b'Adicionar as claras em neve \xc3\xa0 mistura inicial, mexendo delicadamente para incorporar, sem bater mais.', b'Por \xc3\xbaltimo, adicionar o fermento e misturar bem.', b'Colocar em uma forma untada com manteiga e enfarinhada e levar para assar em forno preaquecido a 180 graus por 30 minutos.', b'Enquanto o bolo assa, preparar a cobertura misturando 1 lata de leite condensado com 1/2 x\xc3\xadcara de leite e 200ml de leite de coco.', b'Depois de frio, cortar fatias quadradas de bolo, banhar na calda e passar no coco ralado.', b'Enrolar no papel alum\xc3\xadnio, refrigerar por, pelo menos, 2 horas e servir. Dica: Para manter o bolo \xc3\xbamido e fresquinho, armazenar no papel alum\xc3\xadnio at\xc3\xa9 o momento de servir.']";9 fatias
https://www.tastemade.com.br/programas/raizesdosbrasileiros/croquete-empanado-na-batata-palha;b'Croquete Empanado na Batata Palha';b'No primeiro epis\xc3\xb3dio de Ra\xc3\xadzes dos Brasileiros, Isadora Becker visita Holambra, uma cidade fundada por imigrantes holandeses, e depois prepara um croquete de carne de panela empanado em batata palha Yoki para dar aquela abrasileirada. Fica uma del\xc3\xadcia! ';[b'Azeite de oliva', b'500g de carne de paleta sem osso cortada em cubos', b'1 cebola cortada em cubos', b'3 dentes de alho', b'Sal a gosto', b'Pimenta do reino a gosto', b'\xc2\xbd x\xc3\xadcara de vinho tinto seco', b'2 colheres de sopa de extrato de tomate', b'1 \xc2\xbe x\xc3\xadcara de caldo de carne', b'\xc2\xbc ma\xc3\xa7o de salsinha picada', b'1 x\xc3\xadcara de leite', b'3 colheres de sopa de farinha de trigo', b'2 ovos ', b'1 pacote de Batata Palha Yoki', b'1 lim\xc3\xa3o'];[b'Aquecer uma panela, regar com azeite e fritar a carne.', b'Juntar a cebola, o alho e refogar bem.', b'Temperar com sal e pimenta do reino, adicionar o vinho tinto e deixar o \xc3\xa1lcool evaporar.', b'Adicionar o extrato de tomate e o caldo de carne. Tampar e deixar cozinhar por, aproximadamente, 40 minutos ou at\xc3\xa9 que a carne fique bem macia, apertar a carne com a colher para ela se desmanchar.', b'Cozinhar por mais 5 minutos sem a tampa para secar um pouco o caldo e adicionar a salsinha picada. Reservar.', b'Dissolver a farinha de trigo no leite e juntar a carne.', b'Cozinhar at\xc3\xa9 obter uma massa firme. Reservar para esfriar.', b'Moldar os croquetes e empanar nos ovos batidos e depois na batata palha.', b'Fritar em \xc3\xb3leo quente at\xc3\xa9 dourar, escorrer em papel absorvente e servir com lim\xc3\xa3o e mostarda.'];15 unidades
https://www.tastemade.com.br/programas/ciaotoscana/gnocchigratinadocomtrufasbrancas;b'Gnocchi Gratinado com Trufas Brancas';b'Uiara visita San Miniato, na It\xc3\xa1lia, uma das regi\xc3\xb5es mais pr\xc3\xb3speras para a produ\xc3\xa7\xc3\xa3o de trufas brancas na Europa. Depois de ca\xc3\xa7ar esses ingredientes incr\xc3\xadveis, ela prepara um gnocchi caseiro gratinado com lascas de trufas brancas. Fica fant\xc3\xa1stico!';[b'Sal grosso', b'1kg de batata asterix', b'400 ml de creme de leite fresco', b'1 folha de louro', b'Sal', b'\xc2\xbd cebola roxa', b'2 cravos', b'1 ramo de salvia ', b'Noz-moscada', b'1 ovo', b'200 \xc3\xa0 250 gramas de farinha de trigo (aproximadamente) .', b'Pimenta-do-reino em gr\xc3\xa3os', b'Queijo parmes\xc3\xa3o ou pecorino ralado', b'Trufas brancas (opcional)'];[b'Cobrir o fundo de uma assadeira com sal grosso e dispor as batatas. ', b'Levar ao forno pr\xc3\xa9-aquecido \xc3\xa0 250\xcb\x9aC, at\xc3\xa9 que estejam macias.', b'Em uma panela, adicionar o creme de leite, o louro,o sal, a cebola com os cravos espetados, a s\xc3\xa1lvia e levar ao fogo baixo at\xc3\xa9 come\xc3\xa7ar a ferver. Desligar o fogo, cobrir com um pratinho para infusionar e reserva.', b'Retirar as batatas do forno, descascar e amassar as batatas ainda quentes, passando por um peneira.', b'Dispor o pur\xc3\xaa em uma bancada, temperar com sal e noz moscada. Abrir um buraquinho, dispor o ovo e misturar.', b'Acrescentar a farinha aos poucos, incorporando \xc3\xa0 massa, at\xc3\xa9 que pare de grudar na m\xc3\xa3o.', b'Em uma bancada enfarinhada, dispor a massa e fazer rolinhos de aproximadamente 2 cm cada. Com uma faca ou uma esp\xc3\xa1tula, cortar os nhoques no tamanho desejado e reservar em um prato enfarinhado.', b'Em uma panela grande com bastante \xc3\xa1gua fervente, cozinhar os nhoques aos poucos. Assim que subirem \xc3\xa0 superf\xc3\xadcie, retirar com o aux\xc3\xadlio de uma escumadeira e reservar em um prato untado com azeite.', b'Retirar as cebolas e as ervas da infus\xc3\xa3o do creme de leite, e cobrir o fundo de uma panela ou travessa com uma concha ou mais do creme. Dispor os nhoques, o parmes\xc3\xa3o ralado e levar ao forno pr\xc3\xa9-aquecido \xc3\xa0 250 graus at\xc3\xa9 gratinar.', b'Finalizar com azeite e trufas brancas raladas.'];
https://www.tastemade.com.br/programas/raizesdosbrasileiros/moqueca-de-forno-e-farofa-yoki;b'Moqueca de Forno';b'Isadora Becker visita uma tribo ind\xc3\xadgena Guarani no interior de S\xc3\xa3o Paulo para conhecer um pouco mais dos h\xc3\xa1bitos alimentares de nossos ancestrais e ver como o alimento realmente une fam\xc3\xadlias e pessoas. Depois, ela prepara uma releitura de moqueca com farofa preparada com a Farofa Tradicional Yoki. Fica incr\xc3\xadvel! ';[b'600g de postas de pescada amarela ou abadejo ', b'Sal', b'1 cebola roxa grande cortada em rodelas', b'3 dentes de alho picado', b'2 tomates grandes bem maduros cortados em rodelas', b'1 piment\xc3\xa3o amarelo em rodelas', b'1 piment\xc3\xa3o vermelho em rodelas', b'Pimenta dedo-de-mo\xc3\xa7a', b'200ml de leite de coco ', b'30g de manteiga de garrafa', b'1 \xc2\xbd x\xc3\xadcara de farofa Yoki', b'2 colheres de sopa de azeite de dend\xc3\xaa', b'Coentro picado'];[b'Tempere os fil\xc3\xa9s de peixe com sal e pimenta preta.', b'Em uma assadeira disponha camadas de peixe, cebola, salpique o alho, tomates, os piment\xc3\xb5es e a pimenta. Tempere com sal cada camada feita. ', b'Por \xc3\xbaltimo regue tudo com o leite de coco.', b'Cubra com papel alum\xc3\xadnio e leve ao forno preaquecido a 180 graus, durante 15 minutos.', b'Depois, retire o papel alum\xc3\xadnio e volte ao forno por mais 15 minutos.', b'Em uma frigideira quente, dispor a manteiga de garrafa e a farofa at\xc3\xa9 dourar. ', b'Finalizar com o azeite de dend\xc3\xaa e o coentro picado, ajustar o sal se necess\xc3\xa1rio.', b'Servir a moqueca acompanhada da farofa de dend\xc3\xaa e coentro. '];
